Attribute,Description,Valid Values,Requires,Required,Source,Parent,Properties,Requires Component,Validation Rules
dorsolateral prefrontal cortex,"Broadly-defined, consists of the lateral portions of Brodmann areas 9 - 12, of areas 45, 46, and the superior part of area 47.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0009834]",,,FALSE,,tissue,,,
anterior cingulate cortex,That portion of the cingulate cortex which is located within the frontal lobe (the remainder being in the parietal lobe).; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004249],,,FALSE,,tissue,,,
frontal pole,Component of the frontal lobe. The rostral and caudal boundaries of the frontal pole are the superior frontal gyrus and the rostral division of the middle frontal gyrus respectively (Christine Fennama-Notestine).; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002795],,,FALSE,,tissue,,,
parahippocampal gyrus,"A long convolution on the medial surface of the temporal lobe, forming the lower part of the fornicate gyrus, extending from behind the splenium corporis callosi forward along the dentate gyrus of the hippocampus from which it is demarcated by the hippocampal fissure.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0004380]",,,FALSE,,tissue,,,
superior temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the ssuperior temporal sulcus. The caudal boundary is the cauday portion of the superior temporal gyrus (posterior to becoming continuous with the supramarginal gyrus).; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002769]",,,FALSE,,tissue,,,
inferior frontal gyrus,"Component of the frontal lobe, lateral aspect. The rostral boundary is the first appearance of the inferior frontal sulcus whereas the caudal boundary is the precentral gyrus. The medial and lateral boundaries are the lateral bank of the inferior frontal sulcus and the medial bank of the lateral orbital sulcus and/or the circular insular sulcus respectively (Christein Fennema-Notestine).; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002998]",,,FALSE,,tissue,,,
cerebellum,Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002037],,,FALSE,,tissue,,,
occipital visual cortex,The area of the occipital lobe of the cerebral cortex concerned with vision.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001857],,,FALSE,,tissue,,,
inferior temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the inferior temporal sulcus whereas the caudal boundary is designated as the temporo-occipital incisure on the cortical surface.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002751]",,,FALSE,,tissue,,,
middle temporal gyrus,"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the superior temporal sulcus whereas the caudal boundary is the temporo-occipital incisure on the cortical surface.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002771]",,,FALSE,,tissue,,,
posterior cingulate cortex,Component of the cingulate cortex. The rostral and caudal extent were the caudal anterior and the isthmus divisions of the cingulate cortex respectively.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022353],,,FALSE,,tissue,,,
temporal pole,Anterior component of the temporal lobe (rostral boundary) extends caudally to the entorhinal cortex.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002576],,,FALSE,,tissue,,,
precentral gyrus,Component of the frontal lobe. The appearance and disappearance of the central sulcus is the rostral and caudal boundaries of the precentral gyrus respectively.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002703],,,FALSE,,tissue,,,
superior parietal lobe,A superficial feature of the parietal lobe that extends from the dorsal surface of the superior parietal lobule across the margin of the parietal lobe into the precuneus.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0026724],,,FALSE,,tissue,,,
prefrontal cortex,"The prefrontal cortex is the anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0002807]",,,FALSE,,tissue,,,
amygdala,The one of the four basal ganglia in each cerebral hemisphere that is part of the limbic system and consists of an almond-shaped mass of gray matter in the anterior extremity of the temporal lobe.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001042],,,FALSE,,tissue,,,
caudate nucleus,Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001873],,,FALSE,,tissue,,,
nucleus accumbens,A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen (caudoputamen in rodent).; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001882],,,FALSE,,tissue,,,
putamen,"Subcortical nucleus of telencephalic , which together with the caudate nucleus, forms the striatum.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001874]",,,FALSE,,tissue,,,
temporal cortex,"Gray matter of the temporal region of the neocortex, located in the temporal lobe in gyrencephalic animals.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016538]",,,FALSE,,tissue,,,
orbitofrontal cortex,The region of the cerebral cortex covering the basal surface of the frontal lobes.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0004167],,,FALSE,,tissue,,,
ventrolateral prefrontal cortex,"Is part of the prefrontal cortex, located on the inferior frontal gyrus, bounded superiorly by the inferior frontal sulcus and inferiorly by the lateral sulcus.; [https://en.wikipedia.org/wiki/Ventrolateral_prefrontal_cortex]",,,FALSE,,tissue,,,
medial frontal cortex,Component of the orbtial frontal cortex. The rostral boundary is the first slice where the medial orbital gyrus became visible whereas the caudal boundary is the disappearance of the medial orbital gyrus/gyrus rectus.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022352],,,FALSE,,tissue,,,
primary motor cortex,,,,FALSE,,tissue,,,
primary somatosensory cortex,The part of the cerebral cortex that receives projections from the motor thalamus and which projects to motor neurons in the brainstem and spinal cord.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001384],,,FALSE,,tissue,,,
posteroinferior parietal cortex,"Gray matter of the parietal region of the neocortex, located in the parietal lobe of gyrencephalic animals.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016530]",,,FALSE,,tissue,,,
primary auditory cortex,The part of the auditory cortex that is located on the superior temporal gyrus in the temporal lobe and receives point-to-point input from the ventral division of the medial geniculate complex.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0034751],,,FALSE,,tissue,,,
posterior superior temporal cortex,,,,FALSE,,tissue,,,
inferolateral temporal cortex,,,,FALSE,,tissue,,,
primary visual cortex,A subdivision of the cytoarchitecturally defined occipital region of cerebral cortex in the human.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002436],,,FALSE,,tissue,,,
amygdaloid complex,,,,FALSE,,tissue,,,
striatum,"A region of the forebrain consisting of the caudate nucleus, putamen and fundus striati.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002435]",,,FALSE,,tissue,,,
cerebellar cortex,"The superficial gray matter of the cerebellum. It consists of three layers, the stratum moleculare, stratum granulosum, and stratum purkinjense.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000043]",,,FALSE,,tissue,,,
serum,Liquid derived from blood plasma that has clotting factors removed.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001977],,,FALSE,,tissue,,,
plasma,"Plasma is the fluid (noncellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation.; [http://purl.obolibrary.org/obo/NCIT_C13356]",,,FALSE,,tissue,,,
splenocyte,Any leukocyte that is part of a spleen.; [https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_2000074],,,FALSE,,tissue,,,
blood,A fluid that is composed of blood plasma and erythrocytes.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000178],,,FALSE,,tissue,,,
primary tumor,"A primary tumor is the tumor at the initial site of cancer, not where the cancer may have spread or metastasized, called the secondary tumor.; [https://cancergenome.nih.gov/cancersselected/biospeccriteria]",,tumorType,FALSE,,tissue,,,
embryonic tissue,A portion of tissue that is part of an embryo.; [http://purl.obolibrary.org/obo/UBERON_0005291],,,FALSE,,tissue,,,
meninges,The three thin layers of tissue that cover and protect the brain and spinal cord.; [https://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0024758/],,,FALSE,,tissue,,,
forebrain,The most anterior region the brain including both the telencephalon and diencephalon.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0001890],,,FALSE,,tissue,,,
medial orbital frontal cortex,Component of the orbtial frontal cortex. The rostral boundary is the first slice where the medial orbital gyrus became visible whereas the caudal boundary is the disappearance of the medial orbital gyrus/gyrus rectus.; [http://www.ebi.ac.uk/ols/ontologies/UBERON/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0022352],,,FALSE,,tissue,,,
medial prefrontal cortex,"The medial prefrontal cortex (mPFC) is composed of granular cortical areas (medial areas 9 and 10) and agranular regions (areas 24, 25, and 32); [https://en.wikipedia.org/wiki/Prefrontal_cortex#Subdivisions]",,,FALSE,,tissue,,,
inferior temporal cortex,Inferior Temporal (IT) Cortex is the cerebral cortex on the inferior convexity of the temporal lobe in primates including humans.; [http://www.scholarpedia.org/article/Inferior_temporal_cortex],,,FALSE,,tissue,,,
middle frontal gyrus,"Component of the frontal lobe, lateral aspect; [http://purl.obolibrary.org/obo/UBERON_0002702]",,,FALSE,,tissue,,,
cortical plate,The outer neural tube region in which post-mitotic neuroblasts migrate along radial glia to form the adult cortical layers; [http://purl.obolibrary.org/obo/UBERON_0005343],,,FALSE,,tissue,,,
VZ/SVZ,VZ/SVZ (ventricular zone/subventricular zone) are proliferative transient zones situated near the surface of the cerebral lateral ventricles; [Sage Bionetworks],,,FALSE,,tissue,,,
dorsal pallium,Subdivision of pallium that is located dorsally; [http://purl.obolibrary.org/obo/UBERON_0014740],,,FALSE,,tissue,,,
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.; [http://purl.obolibrary.org/obo/BTO_0000141]",,,FALSE,,tissue,,,
Buccal Mucosa,"The mucosal membranes located on the inside of the cheek, in the buccal cavity.The inner lining of the cheeks.; [http://purl.obolibrary.org/obo/NCIT_C12505]",,,FALSE,,tissue,,,
Dorsal Root Ganglion,Ganglion with sensory function within the vertebral column.; [http://purl.obolibrary.org/obo/NCIT_C12462],,,FALSE,,tissue,,,
unspecified,Unspecified tissue or tissues from an organ.; [Sage Bionetworks],,,FALSE,,tissue,,,
whole brain,Brain tissue not limited to a specific region.; [Sage Bionetworks],,,FALSE,,tissue,,,
Buffy Coat,The middle layer of an anticoagulated blood specimen following separation by centrifugation. It contains most of the white blood cells and platelets.; [http://purl.obolibrary.org/obo/NCIT_C84507],,,FALSE,,tissue,,,
frontal cortex,"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally; [http://purl.obolibrary.org/obo/UBERON_0001870]",,,FALSE,,tissue,,,
olfactory neuroepithelium,"Composed of receptor and supporting cells and olfactory glands of Bowman, located in the superior part of the nasal cavities.; [https://www.medilexicon.com/dictionary/60061]",,,FALSE,,tissue,,,
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"medial dorsal nucleus of thalamus, posterior inferior parietal cortex, midbrain, cerebral cortex, frontal lobe, hippocampus, nerve tissue, dorsolateral prefrontal cortex, anterior cingulate cortex, frontal pole, parahippocampal gyrus, superior temporal gyrus, inferior frontal gyrus, cerebellum, occipital visual cortex, inferior temporal gyrus, middle temporal gyrus, posterior cingulate cortex, temporal pole, precentral gyrus, superior parietal lobe, prefrontal cortex, amygdala, caudate nucleus, nucleus accumbens, putamen, temporal cortex, orbitofrontal cortex, ventrolateral prefrontal cortex, medial frontal cortex, primary motor cortex, primary somatosensory cortex, posteroinferior parietal cortex, primary auditory cortex, posterior superior temporal cortex, inferolateral temporal cortex, primary visual cortex, amygdaloid complex, striatum, cerebellar cortex, serum, plasma, splenocyte, blood, primary tumor, Not Applicable, embryonic tissue, meninges, forebrain, medial orbital frontal cortex, medial prefrontal cortex, inferior temporal cortex, middle frontal gyrus, cortical plate, VZ/SVZ, dorsal pallium, bone marrow, Buccal Mucosa, Dorsal Root Ganglion, unspecified, whole brain, Buffy Coat, frontal cortex, olfactory neuroepithelium",,TRUE,,experimentalData,,,
NanostringnCounter_MouseADPanel,770 standardized genes covering 30 clinically derived AD-associated modules discovered in the AMP-AD consortium study of human brain tissue.; [https://www.nanostring.com/products/gene-expression-panels/gene-expression-panels-overview/ncounter-ad-panels],,,FALSE,,platform,,,
HiSeq3000,Illumina HiSeq 3000; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21290],,,FALSE,,platform,,,
HiSeq2500,Illumina HiSeq 2500; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL16791],,,FALSE,,platform,,,
HiSeq4000,Illumina HiSeq 4000; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20301],,,FALSE,,platform,,,
NextSeq500,Illumina NextSeq 500; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18573],,,FALSE,,platform,,,
HiSeq2000,Illumina HiSeq 2000; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL11154],,,FALSE,,platform,,,
MiSeq,Illumina MiSeq; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL15520],,,FALSE,,platform,,,
PsychChip,,,,FALSE,,platform,,,
Affy5.0,Affymetrix Genome-Wide Human SNP 5.0 Array; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6804],,,FALSE,,platform,,,
Affy6.0,Affymetrix Genome-Wide Human SNP 6.0 Array; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6801],,,FALSE,,platform,,,
PacBioRSII,PacBio RS II; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL21311],,,FALSE,,platform,,,
GAIIx,,,,FALSE,,platform,,,
Illumina_HumanOmni1-Quadv1.0,,,,FALSE,,platform,,,
Illumina_1M,,,,FALSE,,platform,,,
Illumina_h650,,,,FALSE,,platform,,,
Illumina_Omni2pt5M,,,,FALSE,,platform,,,
Illumina_Omni5M,,,,FALSE,,platform,,,
Illumina MouseWG-6 v2.0 expression beadchip,Whole-genome expression profiling in the mouse; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6887],,,FALSE,,platform,,,
Perlegen300Karray,,,,FALSE,,platform,,,
Agilent44Karray,,,,FALSE,,platform,,,
IlluminaWholeGenomeDASL,Illumina Human Whole-Genome DASL HT; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13369],,,FALSE,,platform,,,
IlluminaHumanHap300,,,,FALSE,,platform,,,
NanostringnCounter,,,,FALSE,,platform,,,
LTQOrbitrapXL,LTQ Orbitrap XL Hybrid Ion Trap-Orbitrap Mass Spectrometer; [https://www.thermofisher.com/order/catalog/product/IQLAAEGAAPFADBMAOK],,,FALSE,,platform,,,
IlluminaHumanMethylation450,Illumina HumanMethylation450 BeadChip ; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL13534],,,FALSE,,platform,,,
AffymetrixU133AB,,,,FALSE,,platform,,,
Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version] in situ oligonucleotide; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL6244],,,FALSE,,platform,,,
AffymetrixU133Plus2,Affymetrix Human Genome U133 Plus 2.0 Array; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL570],,,FALSE,,platform,,,
confocalImaging,,,,FALSE,,platform,,,
IlluminaHumanHT-12_V3_0_R1,,,,FALSE,,platform,,,
SequenomMultiplex,,,,FALSE,,platform,,,
HiSeqX,Illumina HiSeq X Platform for whole-genome sequencing; [https://www.illumina.com/systems/sequencing-platforms/hiseq-x.html],,,FALSE,,platform,,,
Bionano Irys,Performs whole genome mapping in a nanoscale fluidic environment enabling the structure of the genome to be imaged and then analyzed at the single molecule level; [https://bionanogenomics.com/products/irys/],,,FALSE,,platform,,,
Infinium HumanOmniExpressExome,Infinium HumanOmniExpressExome BeadChip; [https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL18224],,,FALSE,,platform,,,
platform,,"NanostringnCounter_MouseADPanel, HiSeq3000, HiSeq2500, HiSeq4000, NextSeq500, HiSeq2000, MiSeq, PsychChip, Affy5.0, Affy6.0, PacBioRSII, GAIIx, Illumina_HumanOmni1-Quadv1.0, Illumina_1M, Illumina_h650, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina MouseWG-6 v2.0 expression beadchip, Perlegen300Karray, Agilent44Karray, IlluminaWholeGenomeDASL, IlluminaHumanHap300, NanostringnCounter, LTQOrbitrapXL, IlluminaHumanMethylation450, AffymetrixU133AB, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133Plus2, confocalImaging, IlluminaHumanHT-12_V3_0_R1, SequenomMultiplex, HiSeqX, Bionano Irys, Infinium HumanOmniExpressExome",,TRUE,,experimentalData,,,
isCellLine,Boolean flag indicating whether or not sample source is a cell line,"Yes, No",,TRUE,,experimentalData,,,
isPrimaryCell,Boolean flag indicating whether or not cellType is primary,"Yes, No",,TRUE,,experimentalData,,,
Schwann cell precusor,A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19.; [http://purl.obolibrary.org/obo/CL_0002375],,,FALSE,,cellType,,,
B-lymphocytes,A lymphocyte of B lineage with the phenotype CD19-positive and surface immunoglobulin-positive.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000236],,,FALSE,,cellType,,,
Embryonic stem cells,Embryonic stem (ES) cells are cells derived from the inner cell mass of the early embryo that can be propagated indefinitely in the primitive undifferentiated state while remaining pluripotent.; [http://purl.obolibrary.org/obo/NCIT_C12935],,,FALSE,,cellType,,,
iPSC,Induced pluripotent stem cells (iPS cells or iPSCs) are a type of pluripotent stem cell artificially derived from a non-pluripotent cell.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0004905],,,FALSE,,cellType,,,
iPSC-derived telencephalic organoids,three-dimensional neural cultures (organoids) derived from induced pluripotent stem cells.; [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4519016/],,,FALSE,,cellType,,,
GABAergic neurons,A neuron that uses GABA as a vesicular neurotransmitter.; [https://www.ebi.ac.uk/ols/ontologies/zfa/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FZFA_0009276],,,FALSE,,cellType,,,
monocytes,"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000576]",,,FALSE,,cellType,,,
microglia,"The small, non-neural, interstitial cells of mesodermal origin that form part of the supporting structure of the central nervous system.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000078]",,,FALSE,,cellType,,,
macrophages,"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells.; [https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000235]",,,FALSE,,cellType,,,
astrocytes,"Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with end-feet which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier.; [https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000127]",,,FALSE,,cellType,,,
SH-SY5Y,Human neuroblastoma clonal subline of the neuroepithelioma cell line SK-N-SH that had been established in 1970 from the bone marrow biopsy of a 4-year-old girl with metastatic neuroblastoma.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000793],,,FALSE,,cellType,,,
GLUtamatergic neurons,"Have Glutamate receptors, which are synaptic receptors located primarily on the membranes of neuronal cells. Glutamate (the conjugate base of glutamic acid) is abundant in the human body, but particularly in the nervous system and especially prominent in the human brain.; [https://en.wikipedia.org/wiki/Glutamate_receptor]",,,FALSE,,cellType,,,
NeuN+,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.; [https://en.wikipedia.org/wiki/NeuN],,,FALSE,,cellType,,,
NeuN-,Is a neuronal nuclear antigen that is commonly used as a biomarker for neurons and NeuN immunoreactivity has been widely used to identify neurons in tissue culture to measure the neuron(positive)/glia(negative) ratio in brain regions.; [https://en.wikipedia.org/wiki/NeuN],,,FALSE,,cellType,,,
epithelial,Somatic cells that cover the surface of the body and line its cavities.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000066],,,FALSE,,cellType,,,
epithelial-like,"In cell morphology, epithelial-like cells are polygonal in shape with more regular dimensions, and grow attached to a substrate in discrete patches.; [https://www.thermofisher.com/us/en/home/references/gibco-cell-culture-basics/cell-morphology.html]",,,FALSE,,cellType,,,
fibroblast,A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped.; [https://www.ebi.ac.uk/ols/ontologies/cl/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0000057],,,FALSE,,cellType,,,
round,A phenotype observation at the level of the cell shape where the cell is round; [https://www.ebi.ac.uk/ols/ontologies/cmpo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fcmpo%2FCMPO_0000118],,,FALSE,,cellType,,,
lymphoblast,"Often referred to as a blast cell. Unlike other usages of the suffix -blast a lymphoblast is a further differentiation of a lymphocyte, T- or B-, occasioned by an antigenic stimulus. The lymphoblast usually develops by enlargement of a lymphocyte, active re-entry to the S phase of the cell cycle, mitogenesis and production of much m-RNA and ribosomes.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000772]",,,FALSE,,cellType,,,
polygonal,"A polygonal face is a polygon bounded by a circuit of polygon edges, and includes the flat (plane) region inside the boundary.; [https://www.ebi.ac.uk/ols/ontologies/sio/terms?iri=http%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_000503]",,,FALSE,,cellType,,,
CD8+ T-Cells,"Is a T lymphocyte (a type of white blood cell) that kills cancer cells, cells that are infected (particularly with viruses), or cells that are damaged in other ways.; [https://en.wikipedia.org/wiki/Cytotoxic_T_cell]",,,FALSE,,cellType,,,
arachnoid,An arachnoid mater is a delicate membrane that encloses the spinal cord and brain and lies between the pia mater and dura mater.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001636],,,FALSE,,cellType,,,
meningioma,A central nervous system cancer tissue that are manifested in the central nervous system and arise from the arachnoid 'cap' cells of the arachnoid villi in the meninges.; [https://www.ebi.ac.uk/ols/ontologies/doid/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FDOID_3565],,,FALSE,,cellType,,,
schwannoma,"A neoplasm that arises from SCHWANN CELLS of the cranial, peripheral, and autonomic nerves.; [https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fwww.ebi.ac.uk%2Fefo%2FEFO_0000693]",,,FALSE,,cellType,,,
oligodendrocyte,A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.; [http://purl.obolibrary.org/obo/CL_0000128],,,FALSE,,cellType,,,
schwann,Schwann cells are a variety of glial cell that keep peripheral nerve fibres (both myelinated and unmyelinated) alive.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001220],,,FALSE,,cellType,,,
iPSC-derived neuron,; [Sage Bionetworks],,,FALSE,,cellType,,,
iPSC-derived glia,; [Sage Bionetworks],,,FALSE,,cellType,,,
iPSC-derived astrocytes,; [Sage Bionetworks],,,FALSE,,cellType,,,
monocyte-derived microglia,; [Sage Bionetworks],,,FALSE,,cellType,,,
iPSC-derived neuronal progenitor cell,; [Sage Bionetworks],,,FALSE,,cellType,,,
CD138+,,,,FALSE,,cellType,,,
CNON,Cultured Neuronal cells derived from Olfactory Neuroepithelium; [https://www.synapse.org/#!Synapse:syn4590897],,,FALSE,,cellType,,,
